xB,Ropt,ReboilerEnergyConsumption
0.01,113.65681557846496,
0.011,113.65681557846496,
0.0119999999999999,113.65681557846496,
0.0129999999999999,113.65681557846496,
0.0139999999999999,113.65681557846496,
0.0149999999999999,113.65681557846496,
0.0159999999999999,113.65681557846496,
0.0169999999999999,113.65681557846496,
0.0179999999999999,113.65681557846496,
0.0189999999999999,113.65681557846496,
0.0199999999999999,113.65681557846496,
0.0209999999999999,113.65681557846496,
0.0219999999999999,113.65681557846496,
0.0229999999999999,113.65681557846496,
0.0239999999999999,113.65681557846496,
0.0249999999999999,113.65681557846496,
0.0259999999999999,113.65681557846496,
0.0269999999999999,113.65681557846496,
0.0279999999999999,113.65681557846496,
0.0289999999999999,113.65681557846496,
0.01,,25584.02
0.011,,24311.91
0.0119999999999999,,23039.05
0.0129999999999999,,21765.45
0.0139999999999999,,20491.1
0.0149999999999999,,19216.0
0.0159999999999999,,17940.16
0.0169999999999999,,16663.57
0.0179999999999999,,15386.24
0.0189999999999999,,14108.16
0.0199999999999999,,12829.33
0.0209999999999999,,11549.76
0.0219999999999999,,10269.44
0.0229999999999999,,8988.37
0.0239999999999999,,7706.56
0.0249999999999999,,6424.0
0.0259999999999999,,5140.69
0.0269999999999999,,3856.64
0.0279999999999999,,2571.84
0.028999999999999984,,1286.29
